source,metric_id,metric_name,unitid,institution_name,data_year,period_label,period_type,value,value_unit,definition_reference_year,definition_variable
IPEDS,grad_rate_bachelors_within_6_years_total,"Graduation rate - Bachelor degree within 6 years, total",170082,Grand Valley State University,2014,2014-15,graduation_release_year,65,Percent,2023,GBA6RTT
IPEDS,pell_grant_recipients_overall_grad_rate_150pct,Pell Grant recipients - Overall graduation rate within 150 percent of normal time,170082,Grand Valley State University,2014,2014-15,graduation_release_year,,Percent,2023,PGGRRTT
IPEDS,pct_ftft_awarded_federal_grant_aid,Percent of full-time first-time undergraduates awarded federal grant aid,170082,Grand Valley State University,2014,2014-15,academic_year,33,Percent,2023,FGRNT_P
IPEDS,avg_ftft_federal_grant_aid,Average amount of federal grant aid awarded to full-time first-time undergraduates,170082,Grand Valley State University,2014,2014-15,academic_year,4270,USD,2023,FGRNT_A
IPEDS,pct_ftft_awarded_pell_grants,Percent of full-time first-time undergraduates awarded Pell grants,170082,Grand Valley State University,2014,2014-15,academic_year,32,Percent,2023,PGRNT_P
IPEDS,avg_ftft_pell_grant_aid,Average amount of Pell grant aid awarded to full-time first-time undergraduates,170082,Grand Valley State University,2014,2014-15,academic_year,4111,USD,2023,PGRNT_A
IPEDS,pct_ftft_awarded_institutional_grant_aid,Percent of full-time first-time undergraduates awarded  institutional grant aid,170082,Grand Valley State University,2014,2014-15,academic_year,70,Percent,2023,IGRNT_P
IPEDS,avg_ftft_institutional_grant_aid,Average amount of institutional grant aid awarded to full-time first-time undergraduates,170082,Grand Valley State University,2014,2014-15,academic_year,3806,USD,2023,IGRNT_A
IPEDS,pct_ftft_awarded_student_loans,Percent of full-time first-time undergraduates awarded student loans,170082,Grand Valley State University,2014,2014-15,academic_year,64,Percent,2023,LOAN_P
IPEDS,avg_ftft_student_loans,Average amount of student loans awarded to full-time first-time undergraduates,170082,Grand Valley State University,2014,2014-15,academic_year,6526,USD,2023,LOAN_A
IPEDS,pct_ftft_awarded_federal_student_loans,Percent of full-time first-time undergraduates awarded federal student loans,170082,Grand Valley State University,2014,2014-15,academic_year,64,Percent,2023,FLOAN_P
IPEDS,avg_ftft_federal_student_loans,Average amount of federal student loans awarded to full-time first-time undergraduates,170082,Grand Valley State University,2014,2014-15,academic_year,5871,USD,2023,FLOAN_A
IPEDS,total_price_in_state_on_campus,Total price for in-state students living on campus,170639,Lake Superior State University,2014,2014-15,academic_year,22340,USD,2023,CINSON
IPEDS,total_price_out_state_on_campus,Total price for out-of-state students living on campus,170639,Lake Superior State University,2014,2014-15,academic_year,27404,USD,2023,COTSON
IPEDS,total_price_in_state_off_campus_not_family,Total price for in-state students living off campus (not with family),170639,Lake Superior State University,2014,2014-15,academic_year,20653,USD,2023,CINSOFF
IPEDS,total_price_out_state_off_campus_not_family,Total price for out-of-state students living off campus (not with family),170639,Lake Superior State University,2014,2014-15,academic_year,25717,USD,2023,COTSOFF
IPEDS,total_price_in_state_off_campus_family,Total price for in-state students living off campus (with family),170639,Lake Superior State University,2014,2014-15,academic_year,,USD,2023,CINSFAM
IPEDS,total_price_out_state_off_campus_family,Total price for out-of-state students living off campus (with family),170639,Lake Superior State University,2014,2014-15,academic_year,,USD,2023,COTSFAM
IPEDS,percent_admitted_total,Percent admitted - total,170639,Lake Superior State University,2014,2014-15,fall,91,Percent,2023,DVADM01
IPEDS,percent_admitted_men,Percent admitted - men,170639,Lake Superior State University,2014,2014-15,fall,91,Percent,2023,DVADM02
IPEDS,percent_admitted_women,Percent admitted - women,170639,Lake Superior State University,2014,2014-15,fall,92,Percent,2023,DVADM03
IPEDS,pct_first_time_undergrads_in_state,Percent of first-time undergraduates - in-state,170639,Lake Superior State University,2014,2014-15,fall,88,Percent,2023,RMINSTTP
IPEDS,pct_first_time_undergrads_out_state,Percent of first-time undergraduates - out-of-state,170639,Lake Superior State University,2014,2014-15,fall,5,Percent,2023,RMOUSTTP
IPEDS,pct_first_time_undergrads_foreign,Percent of first-time undergraduates - foreign countries,170639,Lake Superior State University,2014,2014-15,fall,7,Percent,2023,RMFRGNCP
IPEDS,full_time_retention_rate,Full-time retention rate,170639,Lake Superior State University,2014,2014-15,fall,75,Percent,2023,RET_PCF
IPEDS,pct_students_exclusively_distance_ed,Percent of students enrolled exclusively in distance education courses,170639,Lake Superior State University,2014,2014-15,fall,0,Percent,2023,PCTDEEXC
IPEDS,pct_students_some_distance_ed,Percent of students enrolled in some but not all distance education courses,170639,Lake Superior State University,2014,2014-15,fall,19,Percent,2023,PCTDESOM
IPEDS,pct_students_no_distance_ed,Percent of students not enrolled in any distance education courses,170639,Lake Superior State University,2014,2014-15,fall,81,Percent,2023,PCTDENON
IPEDS,grad_rate_bachelors_within_4_years_total,"Graduation rate - Bachelor degree within 4 years, total",170639,Lake Superior State University,2014,2014-15,graduation_release_year,18,Percent,2023,GBA4RTT
IPEDS,grad_rate_bachelors_within_5_years_total,"Graduation rate - Bachelor degree within 5 years, total",170639,Lake Superior State University,2014,2014-15,graduation_release_year,35,Percent,2023,GBA5RTT
IPEDS,grad_rate_bachelors_within_6_years_total,"Graduation rate - Bachelor degree within 6 years, total",170639,Lake Superior State University,2014,2014-15,graduation_release_year,43,Percent,2023,GBA6RTT
IPEDS,pell_grant_recipients_overall_grad_rate_150pct,Pell Grant recipients - Overall graduation rate within 150 percent of normal time,170639,Lake Superior State University,2014,2014-15,graduation_release_year,,Percent,2023,PGGRRTT
IPEDS,pct_ftft_awarded_federal_grant_aid,Percent of full-time first-time undergraduates awarded federal grant aid,170639,Lake Superior State University,2014,2014-15,academic_year,43,Percent,2023,FGRNT_P
IPEDS,avg_ftft_federal_grant_aid,Average amount of federal grant aid awarded to full-time first-time undergraduates,170639,Lake Superior State University,2014,2014-15,academic_year,4432,USD,2023,FGRNT_A
IPEDS,pct_ftft_awarded_pell_grants,Percent of full-time first-time undergraduates awarded Pell grants,170639,Lake Superior State University,2014,2014-15,academic_year,42,Percent,2023,PGRNT_P
IPEDS,avg_ftft_pell_grant_aid,Average amount of Pell grant aid awarded to full-time first-time undergraduates,170639,Lake Superior State University,2014,2014-15,academic_year,4207,USD,2023,PGRNT_A
IPEDS,pct_ftft_awarded_institutional_grant_aid,Percent of full-time first-time undergraduates awarded  institutional grant aid,170639,Lake Superior State University,2014,2014-15,academic_year,78,Percent,2023,IGRNT_P
IPEDS,avg_ftft_institutional_grant_aid,Average amount of institutional grant aid awarded to full-time first-time undergraduates,170639,Lake Superior State University,2014,2014-15,academic_year,5003,USD,2023,IGRNT_A
IPEDS,pct_ftft_awarded_student_loans,Percent of full-time first-time undergraduates awarded student loans,170639,Lake Superior State University,2014,2014-15,academic_year,60,Percent,2023,LOAN_P
IPEDS,avg_ftft_student_loans,Average amount of student loans awarded to full-time first-time undergraduates,170639,Lake Superior State University,2014,2014-15,academic_year,5495,USD,2023,LOAN_A
IPEDS,pct_ftft_awarded_federal_student_loans,Percent of full-time first-time undergraduates awarded federal student loans,170639,Lake Superior State University,2014,2014-15,academic_year,60,Percent,2023,FLOAN_P
IPEDS,avg_ftft_federal_student_loans,Average amount of federal student loans awarded to full-time first-time undergraduates,170639,Lake Superior State University,2014,2014-15,academic_year,4831,USD,2023,FLOAN_A
IPEDS,total_price_in_state_on_campus,Total price for in-state students living on campus,170976,University of Michigan-Ann Arbor,2014,2014-15,academic_year,26984,USD,2023,CINSON
IPEDS,total_price_out_state_on_campus,Total price for out-of-state students living on campus,170976,University of Michigan-Ann Arbor,2014,2014-15,academic_year,55404,USD,2023,COTSON
IPEDS,total_price_in_state_off_campus_not_family,Total price for in-state students living off campus (not with family),170976,University of Michigan-Ann Arbor,2014,2014-15,academic_year,26984,USD,2023,CINSOFF
IPEDS,total_price_out_state_off_campus_not_family,Total price for out-of-state students living off campus (not with family),170976,University of Michigan-Ann Arbor,2014,2014-15,academic_year,55404,USD,2023,COTSOFF
IPEDS,total_price_in_state_off_campus_family,Total price for in-state students living off campus (with family),170976,University of Michigan-Ann Arbor,2014,2014-15,academic_year,,USD,2023,CINSFAM
IPEDS,total_price_out_state_off_campus_family,Total price for out-of-state students living off campus (with family),170976,University of Michigan-Ann Arbor,2014,2014-15,academic_year,,USD,2023,COTSFAM
IPEDS,percent_admitted_total,Percent admitted - total,170976,University of Michigan-Ann Arbor,2014,2014-15,fall,32,Percent,2023,DVADM01
IPEDS,percent_admitted_men,Percent admitted - men,170976,University of Michigan-Ann Arbor,2014,2014-15,fall,30,Percent,2023,DVADM02
IPEDS,percent_admitted_women,Percent admitted - women,170976,University of Michigan-Ann Arbor,2014,2014-15,fall,35,Percent,2023,DVADM03
IPEDS,pct_first_time_undergrads_in_state,Percent of first-time undergraduates - in-state,170976,University of Michigan-Ann Arbor,2014,2014-15,fall,55,Percent,2023,RMINSTTP
IPEDS,pct_first_time_undergrads_out_state,Percent of first-time undergraduates - out-of-state,170976,University of Michigan-Ann Arbor,2014,2014-15,fall,41,Percent,2023,RMOUSTTP
IPEDS,pct_first_time_undergrads_foreign,Percent of first-time undergraduates - foreign countries,170976,University of Michigan-Ann Arbor,2014,2014-15,fall,4,Percent,2023,RMFRGNCP
IPEDS,full_time_retention_rate,Full-time retention rate,170976,University of Michigan-Ann Arbor,2014,2014-15,fall,97,Percent,2023,RET_PCF
IPEDS,pct_students_exclusively_distance_ed,Percent of students enrolled exclusively in distance education courses,170976,University of Michigan-Ann Arbor,2014,2014-15,fall,0,Percent,2023,PCTDEEXC
IPEDS,pct_students_some_distance_ed,Percent of students enrolled in some but not all distance education courses,170976,University of Michigan-Ann Arbor,2014,2014-15,fall,1,Percent,2023,PCTDESOM
IPEDS,pct_students_no_distance_ed,Percent of students not enrolled in any distance education courses,170976,University of Michigan-Ann Arbor,2014,2014-15,fall,99,Percent,2023,PCTDENON
